time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-24T12:57:07.420Z,38.3235,-113.0793333,0.17,2.62,ml,21,94,0.04673,0.16,uu,uu60430167,2021-03-24T13:13:48.840Z,"10 km SW of Milford, Utah",earthquake,0.47,1.3,0.225,12,reviewed,uu,uu
2021-03-24T11:33:48.821Z,-3.3031,28.3177,10,4.6,mb,,87,3.612,0.61,us,us6000dw0n,2021-03-24T12:10:28.040Z,"91 km W of Uvira, Democratic Republic of the Congo",earthquake,9.6,1.9,0.105,28,reviewed,us,us
2021-03-24T10:58:45.490Z,-21.9577,-178.2223,399.67,4.4,mb,,104,5.463,0.55,us,us6000dw0k,2021-03-24T13:32:54.040Z,Fiji region,earthquake,12.7,6.8,0.059,82,reviewed,us,us
2021-03-24T10:51:20.200Z,44.4126,-115.2183,10,2.8,ml,,79,0.27,1.11,us,us6000dw0h,2021-03-24T23:22:25.350Z,"31 km NW of Stanley, Idaho",earthquake,1.3,2,0.052,48,reviewed,us,us
2021-03-24T10:40:19.584Z,31.65823833,-104.2790359,6.774267578,2.8,ml,26,58,0.117617618,0.2,tx,tx2021fuqj,2021-03-24T16:28:17.884Z,"58 km S of Whites City, New Mexico",earthquake,1.212564572,1.630185041,0.1,14,reviewed,tx,tx
2021-03-24T10:39:47.303Z,-11.0688,-77.8694,64.64,4.2,mb,,140,1.359,1.18,us,us6000dw0f,2021-03-24T11:22:23.040Z,"25 km WSW of Végueta, Peru",earthquake,10.9,14.6,0.176,9,reviewed,us,us
2021-03-24T10:36:48.590Z,37.4220009,-121.6689987,4.79,2.48,md,56,40,0.08293,0.07,nc,nc73539356,2021-03-25T04:28:29.551Z,"15km ENE of Alum Rock, CA",earthquake,0.13,0.48,0.12,66,automatic,nc,nc
2021-03-24T09:38:38.780Z,40.6306667,-121.6563333,8.49,2.51,md,28,53,0.1128,0.15,nc,nc73539331,2021-03-24T19:10:04.941Z,"13km N of Viola, CA",earthquake,0.31,1.02,0.11,32,reviewed,nc,nc
2021-03-24T09:12:10.109Z,29.5053,132.1543,10,4.6,mb,,60,2.479,0.64,us,us6000dvzh,2021-03-24T09:40:50.040Z,"175 km SE of Koseda, Japan",earthquake,6,1.9,0.085,41,reviewed,us,us
2021-03-24T08:01:29.318Z,31.68217217,-104.3882409,6.388647461,2.5,ml,31,52,0.096886766,0.3,tx,tx2021fuld,2021-03-24T15:25:55.753Z,"54 km S of Whites City, New Mexico",earthquake,1.00290093,1.279482611,0.1,17,reviewed,tx,tx
2021-03-24T07:56:31.140Z,31.68123573,-104.3909245,6.080151367,3.1,ml,45,53,0.094492547,0.3,tx,tx2021fukz,2021-03-24T16:18:23.915Z,"54 km S of Whites City, New Mexico",earthquake,0.866293996,1.216908657,0.1,21,reviewed,tx,tx
2021-03-24T07:34:11.610Z,19.38416667,-154.944,5.5,3,ml,49,210,,0.21,hv,hv72397522,2021-03-25T04:24:36.464Z,"9 km SSW of Leilani Estates, Hawaii",earthquake,0.62,0.51,0.172107265,35,reviewed,hv,hv
2021-03-24T06:44:28.490Z,5.1283,94.3037,46.99,4.4,mb,,99,2.634,0.69,us,us6000dvyu,2021-03-24T07:11:49.040Z,"122 km WSW of Banda Aceh, Indonesia",earthquake,9.4,8.6,0.148,13,reviewed,us,us
2021-03-24T06:12:21.800Z,38.3266667,-113.0876667,3.82,2.46,ml,19,110,0.04244,0.18,uu,uu60430117,2021-03-24T13:47:23.040Z,"10 km SW of Milford, Utah",earthquake,0.65,0.77,0.187,11,reviewed,uu,uu
